option_type,expiry_time,strike_price,market_price
c,0.05475701574264202,190.0,37.65
c,0.05475701574264202,197.5,30.45
c,0.05475701574264202,200.0,28.0
c,0.05475701574264202,202.5,25.3
c,0.05475701574264202,210.0,17.55
c,0.05475701574264202,215.0,12.6
c,0.05475701574264202,222.5,5.15
c,0.05475701574264202,227.5,0.01
c,0.05475701574264202,230.0,0.01
c,0.05475701574264202,232.5,0.01
c,0.05475701574264202,235.0,0.01
c,0.05475701574264202,237.5,0.01
c,0.05475701574264202,240.0,0.01
c,0.05475701574264202,242.5,0.01
c,0.05475701574264202,245.0,0.01
c,0.05475701574264202,247.5,0.01
c,0.05475701574264202,250.0,0.01
c,0.05475701574264202,255.0,0.01
c,0.05475701574264202,260.0,0.01
c,0.05475701574264202,265.0,0.01
c,0.05475701574264202,270.0,0.01
p,0.05475701574264202,185.0,0.005
p,0.05475701574264202,190.0,0.005
p,0.05475701574264202,195.0,0.005
p,0.05475701574264202,197.5,0.005
p,0.05475701574264202,200.0,0.005
p,0.05475701574264202,202.5,0.005
p,0.05475701574264202,205.0,0.005
p,0.05475701574264202,207.5,0.005
p,0.05475701574264202,210.0,0.005
p,0.05475701574264202,212.5,0.005
p,0.05475701574264202,215.0,0.005
p,0.05475701574264202,217.5,0.005
p,0.05475701574264202,220.0,0.005
p,0.05475701574264202,222.5,0.005
p,0.05475701574264202,225.0,0.005
p,0.05475701574264202,227.5,0.7849999999999999
p,0.05475701574264202,230.0,3.325
p,0.05475701574264202,232.5,5.824999999999999
p,0.05475701574264202,235.0,8.575
p,0.05475701574264202,237.5,10.7
p,0.05475701574264202,242.5,15.700000000000001
p,0.05475701574264202,245.0,18.375
p,0.05475701574264202,247.5,20.700000000000003
p,0.05475701574264202,255.0,28.2
p,0.05475701574264202,265.0,38.5
p,0.05475701574264202,270.0,43.5
c,0.07392197125256673,185.0,42.2
c,0.07392197125256673,190.0,37.7
c,0.07392197125256673,195.0,32.25
c,0.07392197125256673,200.0,27.45
c,0.07392197125256673,202.5,25.1
c,0.07392197125256673,205.0,22.4
c,0.07392197125256673,207.5,19.9
c,0.07392197125256673,210.0,17.4
c,0.07392197125256673,212.5,14.9
c,0.07392197125256673,215.0,12.4
c,0.07392197125256673,217.5,10.1
c,0.07392197125256673,220.0,7.75
c,0.07392197125256673,222.5,5.7
c,0.07392197125256673,225.0,3.85
c,0.07392197125256673,227.5,2.34
c,0.07392197125256673,230.0,1.28
c,0.07392197125256673,232.5,0.62
c,0.07392197125256673,235.0,0.27
c,0.07392197125256673,237.5,0.12
c,0.07392197125256673,240.0,0.06
c,0.07392197125256673,242.5,0.04
c,0.07392197125256673,245.0,0.03
c,0.07392197125256673,247.5,0.02
c,0.07392197125256673,250.0,0.02
c,0.07392197125256673,255.0,0.02
c,0.07392197125256673,260.0,0.01
c,0.07392197125256673,265.0,0.01
c,0.07392197125256673,270.0,0.01
p,0.07392197125256673,185.0,0.015
p,0.07392197125256673,190.0,0.03
p,0.07392197125256673,195.0,0.045
p,0.07392197125256673,200.0,0.065
p,0.07392197125256673,202.5,0.08
p,0.07392197125256673,205.0,0.095
p,0.07392197125256673,207.5,0.125
p,0.07392197125256673,210.0,0.155
p,0.07392197125256673,212.5,0.21000000000000002
p,0.07392197125256673,215.0,0.3
p,0.07392197125256673,217.5,0.445
p,0.07392197125256673,220.0,0.6950000000000001
p,0.07392197125256673,222.5,1.1099999999999999
p,0.07392197125256673,225.0,1.7850000000000001
p,0.07392197125256673,227.5,2.83
p,0.07392197125256673,230.0,4.325
p,0.07392197125256673,232.5,6.175000000000001
p,0.07392197125256673,235.0,8.325
p,0.07392197125256673,237.5,11.05
p,0.07392197125256673,245.0,18.225
p,0.07392197125256673,247.5,20.75
p,0.07392197125256673,255.0,28.275
p,0.07392197125256673,260.0,33.275
p,0.07392197125256673,270.0,43.25
c,0.09308692676249145,185.0,42.4
c,0.09308692676249145,190.0,37.45
c,0.09308692676249145,195.0,32.6
c,0.09308692676249145,200.0,27.6
c,0.09308692676249145,205.0,22.6
c,0.09308692676249145,207.5,20.35
c,0.09308692676249145,210.0,17.75
c,0.09308692676249145,212.5,15.4
c,0.09308692676249145,215.0,13.0
c,0.09308692676249145,217.5,10.8
c,0.09308692676249145,220.0,8.75
c,0.09308692676249145,222.5,6.8
c,0.09308692676249145,225.0,5.0
c,0.09308692676249145,227.5,3.55
c,0.09308692676249145,230.0,2.34
c,0.09308692676249145,232.5,1.48
c,0.09308692676249145,235.0,0.88
c,0.09308692676249145,237.5,0.51
c,0.09308692676249145,240.0,0.3
c,0.09308692676249145,242.5,0.18
c,0.09308692676249145,245.0,0.11
c,0.09308692676249145,247.5,0.07
c,0.09308692676249145,250.0,0.06
c,0.09308692676249145,255.0,0.04
c,0.09308692676249145,260.0,0.03
c,0.09308692676249145,265.0,0.02
c,0.09308692676249145,270.0,0.02
p,0.09308692676249145,185.0,0.07500000000000001
p,0.09308692676249145,190.0,0.10500000000000001
p,0.09308692676249145,195.0,0.14500000000000002
p,0.09308692676249145,200.0,0.195
p,0.09308692676249145,205.0,0.28
p,0.09308692676249145,207.5,0.345
p,0.09308692676249145,210.0,0.43
p,0.09308692676249145,212.5,0.56
p,0.09308692676249145,215.0,0.75
p,0.09308692676249145,217.5,1.03
p,0.09308692676249145,220.0,1.43
p,0.09308692676249145,222.5,1.99
p,0.09308692676249145,225.0,2.74
p,0.09308692676249145,227.5,3.8
p,0.09308692676249145,230.0,5.15
p,0.09308692676249145,232.5,6.875
p,0.09308692676249145,235.0,8.75
p,0.09308692676249145,237.5,10.95
p,0.09308692676249145,240.0,13.3
p,0.09308692676249145,247.5,20.75
p,0.09308692676249145,250.0,23.225
p,0.09308692676249145,255.0,28.55
p,0.09308692676249145,260.0,33.275
p,0.09308692676249145,265.0,38.275
c,0.11225188227241616,185.0,42.75
c,0.11225188227241616,190.0,37.8
c,0.11225188227241616,195.0,32.9
c,0.11225188227241616,200.0,28.0
c,0.11225188227241616,205.0,23.2
c,0.11225188227241616,210.0,18.35
c,0.11225188227241616,215.0,13.75
c,0.11225188227241616,220.0,9.5
c,0.11225188227241616,225.0,6.0
c,0.11225188227241616,230.0,3.3
c,0.11225188227241616,235.0,1.58
c,0.11225188227241616,240.0,0.66
c,0.11225188227241616,245.0,0.29
c,0.11225188227241616,250.0,0.14
c,0.11225188227241616,255.0,0.08
c,0.11225188227241616,260.0,0.05
c,0.11225188227241616,265.0,0.04
